keep_street,new_name,notes,osm_id,city
0,,not a road - behind fence,23686737,North Vancouver
0,,not a road,23690374,North Vancouver
0,,private property - not a road,23690347,North Vancouver
0,,apt complex - not a road,23690340,North Vancouver
0,,apt complex - not a road,23690342,North Vancouver
0,,apt complex - not a road,23690343,North Vancouver
0,,apt complex - not a road,23690338,North Vancouver
0,,apt complex - not a road,23690339,North Vancouver
0,,apt complex - not a road,23690352,North Vancouver
0,,apt complex - not a road,23690354,North Vancouver
0,,apt complex - not a road,23690415,North Vancouver
0,,apt complex - not a road,23690421,North Vancouver
0,,apt complex - not a road,23690423,North Vancouver
0,,apt complex - not a road,23690492,North Vancouver
0,,apt complex - not a road,23690493,North Vancouver
0,,apt complex - not a road,23690495,North Vancouver
0,,apt complex - not a road,23690496,North Vancouver
0,,apt complex - not a road,23690497,North Vancouver
0,,not a road,23690497,North Vancouver
0,,apt complex - not a road,23690548,North Vancouver
0,,lane - not a road,23716670,North Vancouver
0,,not a road,23691450,North Vancouver
0,,not a road,23710119,North Vancouver
0,,not a road,23710099,North Vancouver
0,,private property - not a road,23701193,North Vancouver
0,,private property - not a road,23701198,North Vancouver
0,,apt complex - not a road,23797635,North Vancouver
0,,apt complex - not a road,23797606,North Vancouver
0,,apt complex - not a road,23778257,North Vancouver
0,,not a road,23736675,North Vancouver
0,,not a road,23776911,North Vancouver
0,,not a road,23795815,North Vancouver
0,,apt complex - not a road,23778329,North Vancouver
0,,apt complex - not a road,23778337,North Vancouver
0,,apt complex - not a road,23778342,North Vancouver
0,,apt complex - not a road,23778343,North Vancouver
0,,apt complex - not a road,23778344,North Vancouver
0,,apt complex - not a road,23778345,North Vancouver
0,,apt complex - not a road,23778346,North Vancouver
0,,apt complex - not a road,23793610,North Vancouver
0,,apt complex - not a road,23793628,North Vancouver
0,,apt complex - not a road,23793469,North Vancouver
0,,apt complex - not a road,23793613,North Vancouver
0,,apt complex - not a road,23793606,North Vancouver
0,,apt complex - not a road,23793885,North Vancouver
0,,new const - not a road,23793678,North Vancouver
0,,new const - not a road,23793650,North Vancouver
0,,private property - not a road,23797497,North Vancouver
0,,private property - not a road,23729826,North Vancouver
0,,not a road,23973188,North Vancouver
0,,not a road,23973189,North Vancouver
0,,lane - not a road,23948744,North Vancouver
0,,parking lot - not a road,23973204,North Vancouver
0,,parking lot - not a road,23973203,North Vancouver
0,,not a road,23805752,North Vancouver
0,,apt complex - not a road,23797748,North Vancouver
0,,apt complex - not a road,23797788,North Vancouver
0,,apt complex - not a road,23946591,North Vancouver
0,,apt complex - not a road,23946589,North Vancouver
0,,apt complex - not a road,23946596,North Vancouver
0,,reservation - private road,23811341,North Vancouver
0,,apt complex - not a road,23946897,North Vancouver
0,,apt complex - not a road,23797748,North Vancouver
0,,not a road,24007852,North Vancouver
0,,not a road,24035558,North Vancouver
0,,not a road,24035139,North Vancouver
0,,apt complex - not a road,24035312,North Vancouver
0,,apt complex - not a road,24035241,North Vancouver
0,,not a road,24007639,North Vancouver
0,,not in area,31233563,North Vancouver
0,,not in area,34387258,North Vancouver
0,,not in area,35195643,North Vancouver
0,,apt complex - not a road,24263523,North Vancouver
0,,not a road,32615244,North Vancouver
0,,not a road,24036539,North Vancouver
0,,not a road,24036000,North Vancouver
0,,not a road,24036019,North Vancouver
0,,not a road,24036084,North Vancouver
0,,not a road,24036150,North Vancouver
0,,not a road,24036155,North Vancouver
0,,not a road,24036192,North Vancouver
0,,not a road,24036198,North Vancouver
0,,not a road,24036202,North Vancouver
0,,not in area,31233563,North Vancouver
0,,not in area,35195211,North Vancouver
0,,not in area,35195411,North Vancouver
0,,not in area,35195514,North Vancouver
0,,not in area,34387258,North Vancouver
0,,not in area,35195136,North Vancouver
0,,not in area,35195108,North Vancouver
0,,not in area,35195249,North Vancouver
0,,not in area,35194717,North Vancouver
0,,not in area,35195092,North Vancouver
0,,not in area,35195200,North Vancouver
0,,not in area,35195553,North Vancouver
0,,not in area,35195300,North Vancouver
0,,not in area,35195643,North Vancouver
0,,apt complex - not a road,35195193,North Vancouver
0,,apt complex - not a road,28316623,North Vancouver
0,,reservation - private road,24037446,North Vancouver
0,,not in area,35196334,North Vancouver
0,,not in area,35197173,North Vancouver
0,,not in area,35219548,North Vancouver
0,,not in area,43537883,North Vancouver
0,,not in area,43537891,North Vancouver
0,,not in area,43537867,North Vancouver
0,,not in area,43537873,North Vancouver
0,,not in area,43537875,North Vancouver
0,,not in area,43537876,North Vancouver
0,,not in area,43537877,North Vancouver
0,,not a road,43674854,North Vancouver
0,,not a road,43674855,North Vancouver
0, ,not a road,43674858,North Vancouver
0,,not a road,43674867,North Vancouver
0,,not a road,43675208,North Vancouver
0,,lane - not a road,43675201,North Vancouver
0,,not a road,43675202,North Vancouver
0,,parking lot - not a road,43675206,North Vancouver
0,,not a road,40262349,North Vancouver
0,,not a road,43675203,North Vancouver
0,,not a road,43675207,North Vancouver
0,,not a road,40263112,North Vancouver
0,,not a road,43675212,North Vancouver
0,,not a road,36982622,North Vancouver
0,,not a road,35196587,North Vancouver
0,,not a road,35197175,North Vancouver
0,,not a road,35199606,North Vancouver
0,,not in area,35197689,North Vancouver
0,,not in area,35199747,North Vancouver
0,,not in area,35217874,North Vancouver
0,,not in area,35198342,North Vancouver
0,,not in area,35199395,North Vancouver
0,,not in area,35199252,North Vancouver
0,,not in area,35216287,North Vancouver
0,,not in area,35198809,North Vancouver
0,,not in area,35199219,North Vancouver
0,,not in area,35197152,North Vancouver
0,,not in area,35199201,North Vancouver
0,,not in area,35198841,North Vancouver
0,,not in area,35195884,North Vancouver
0,,not in area,35199016,North Vancouver
0,,not in area,35199408,North Vancouver
0,,not in area,35219548,North Vancouver
0,,not in area,35199204,North Vancouver
0,,not in area,35219549,North Vancouver
0,,not in area,35422066,North Vancouver
0,,not in area,35195808,North Vancouver
0,,not in area,35196662,North Vancouver
0,,not in area,35199772,North Vancouver
0,,not in area,35199153,North Vancouver
0,,not in area,43537866,North Vancouver
0,,not in area,41999614,North Vancouver
0,,not in area,41999613,North Vancouver
0,,not in area,41999619,North Vancouver
0,,not a road,39984297,North Vancouver
0,,freeway,45334545,North Vancouver
0,,freeway,45334408,North Vancouver
0,,freeway,45336998,North Vancouver
0,,freeway,45337007,North Vancouver
0,,freeway,45337504,North Vancouver
0,,freeway,45337510,North Vancouver
0,,not a road,40251357,North Vancouver
0,,apt complex - not a road,35196755,North Vancouver
0,,apt complex - not a road,35199042,North Vancouver
0,,not a road,35197004,North Vancouver
0,,private property - not a road,35198763,North Vancouver
0,,private property - not a road,35196325,North Vancouver
0,,private property - not a road,35196591,North Vancouver
0,,alley - not a road,47366445,North Vancouver
0,,alley - not a road,47366475,North Vancouver
0,,alley - not a road,47366541,North Vancouver
0,,alley - not a road,47366423,North Vancouver
0,,not a road,48608322,North Vancouver
1,Claires Alley,,48608353,North Vancouver
0,,parking lot - not a road,48608342,North Vancouver
0,,apt complex - not a road,48608346,North Vancouver
0,,not a road,48569799,North Vancouver
0,,not a road,48569829,North Vancouver
0,,apt complex - not a road,48569835,North Vancouver
0,,trail - not a road,45396268,North Vancouver
0,,reservation - private road,48608323,North Vancouver
0,,reservation - private road,48608324,North Vancouver
0,,reservation - private road,48569830,North Vancouver
0,,reservation - private road,48569817,North Vancouver
0,,trail - not a road,45664662,North Vancouver
0,,not a road,48608346,North Vancouver
0,,not a road,48608347,North Vancouver
0,,not a road,48608341,North Vancouver
0,,not a road,48608333,North Vancouver
0,,not a road,48608334,North Vancouver
0,,not a road,48608335,North Vancouver
0,,apt complex - not a road,48475255,North Vancouver
0,,trail - not a road,55331332,North Vancouver
0,,trail - not a road,55331335,North Vancouver
0,,trail - not a road,55331339,North Vancouver
0,,trail - not a road,55331592,North Vancouver
0,,private property - not a road,54928369,North Vancouver
0,,apt complex - not a road,55400555,North Vancouver
0,,apt complex - not a road,55400557,North Vancouver
0,,parking lot - not a road,57746348,North Vancouver
0,,parking lot - not a road,57746349,North Vancouver
1,Violet St,,55400070,North Vancouver
0,,parking lot - not a road,55400001,North Vancouver
0,,parking lot - not a road,48608425,North Vancouver
0,,not a road,48608387,North Vancouver
1,Seymour River Pl,,48608423,North Vancouver
0,,alley - not a road,48608402,North Vancouver
0,,parking lot - not a road,57744544,North Vancouver
0,,parking lot - not a road,57744541,North Vancouver
0,,parking lot - not a road,57744552,North Vancouver
0,,parking lot - not a road,57744548,North Vancouver
0,,parking lot - not a road,57744550,North Vancouver
0,,parking lot - not a road,57744545,North Vancouver
0,,parking lot - not a road,57744542,North Vancouver
0,,parking lot - not a road,57744547,North Vancouver
0,,parking lot - not a road,57744551,North Vancouver
0,,parking lot - not a road,57744546,North Vancouver
0,,parking lot - not a road,48608396,North Vancouver
0,,alley - not a road,50779884,North Vancouver
0,,alley - not a road,48719484,North Vancouver
0,,alley - not a road,50779885,North Vancouver
0,,not a road,48608393,North Vancouver
0,,not a road,48608397,North Vancouver
0,,apt complex - not a road,48608374,North Vancouver
0,,apt complex - not a road,48608379,North Vancouver
0,,apt complex - not a road,48608380,North Vancouver
0,,apt complex - not a road,48608383,North Vancouver
0,,apt complex - not a road,48608420,North Vancouver
0,,apt complex - not a road,48608406,North Vancouver
0,,apt complex - not a road,48608421,North Vancouver
0,,apt complex - not a road,48608417,North Vancouver
0,,apt complex - not a road,48608418,North Vancouver
0,,apt complex - not a road,48608412,North Vancouver
0,,apt complex - not a road,48608413,North Vancouver
0,,apt complex - not a road,48608414,North Vancouver
0,,apt complex - not a road,48608415,North Vancouver
0,,apt complex - not a road,48608416,North Vancouver
0,,apt complex - not a road,48608407,North Vancouver
0,,apt complex - not a road,48608408,North Vancouver
0,,apt complex - not a road,48608409,North Vancouver
0,,apt complex - not a road,48608410,North Vancouver
0,,not in area,67790445,North Vancouver
0,,not in area,67790449,North Vancouver
0,,not in area,67790441,North Vancouver
0,,not in area,67591076,North Vancouver
0,,trail - not a road,60316145,North Vancouver
0,,trail - not a road,60314743,North Vancouver
0,,trail - not a road,58847279,North Vancouver
0,,parking lot - not a road,57767083,North Vancouver
0,,parking lot - not a road,57767084,North Vancouver
0,,apt complex - not a road,57767082,North Vancouver
0,,not a road,60322224,North Vancouver
0,,apt complex - not a road,60113268,North Vancouver
0,,parking lot - not a road,57746352,North Vancouver
0,,parking lot - not a road,57746351,North Vancouver
0,,parking lot - not a road,57746359,North Vancouver
0,,parking lot - not a road,57746355,North Vancouver
0,,parking lot - not a road,57746356,North Vancouver
0,,parking lot - not a road,57746354,North Vancouver
0,,parking lot - not a road,57746361,North Vancouver
0,,parking lot - not a road,57746362,North Vancouver
0,,parking lot - not a road,58845378,North Vancouver
0,,parking lot - not a road,58845391,North Vancouver
0,,parking lot - not a road,58845384,North Vancouver
0,,parking lot - not a road,58845355,North Vancouver
0,,parking lot - not a road,67561063,North Vancouver
0,,parking lot - not a road,67561057,North Vancouver
0,,parking lot - not a road,67561060,North Vancouver
0,,parking lot - not a road,84218348,North Vancouver
0,,not a road,91039534,North Vancouver
0,,not a road,58199067,North Vancouver
0,,trail - not a road,77799525,North Vancouver
0,,trail - not a road,77451162,North Vancouver
0,,trail - not a road,77799524,North Vancouver
0,,parking lot - not a road,64613413,North Vancouver
0,,parking lot - not a road,64613426,North Vancouver
0,,parking lot - not a road,64613442,North Vancouver
0,,not a road,95045768,North Vancouver
0,,not a road,84508234,North Vancouver
0,,parking lot - not a road,71283503,North Vancouver
0,,trail - not a road,84506591,North Vancouver
0,,parking lot - not a road,87467007,North Vancouver
0,,not in area,67790446,North Vancouver
0,,freeway,75371574,North Vancouver
0,,not a road,77799528,North Vancouver
0,,not a road,77090753,North Vancouver
0,,not a road,66948749,North Vancouver
0,,trail - not a road,96527614,North Vancouver
0,,alley - not a road,96539366,North Vancouver
0,,alley - not a road,96539367,North Vancouver
0,,trail - not a road,96277592,North Vancouver
0,,trail - not a road,95574277,North Vancouver
0,,not a road,100392580,North Vancouver
0,,not a road,95045773,North Vancouver
0,,not a road,95045769,North Vancouver
0,,not a road,95045792,North Vancouver
0,,private property - not a road,96680398,North Vancouver
0,,alley - not a road,96024724,North Vancouver
0,,alley - not a road,106123633,North Vancouver
0,,alley - not a road,102129494,North Vancouver
0,,alley - not a road,106123703,North Vancouver
0,,alley - not a road,106123667,North Vancouver
0,,alley - not a road,106123604,North Vancouver
0,,alley - not a road,106123666,North Vancouver
0,,alley - not a road,106123636,North Vancouver
0,,alley - not a road,106123678,North Vancouver
0,,alley - not a road,106123709,North Vancouver
0,,alley - not a road,102129491,North Vancouver
0,,alley - not a road,106123671,North Vancouver
0,,alley - not a road,106123673,North Vancouver
0,,alley - not a road,106123652,North Vancouver
0,,alley - not a road,106123594,North Vancouver
0,,alley - not a road,106123588,North Vancouver
0,,alley - not a road,106123619,North Vancouver
0,,alley - not a road,106123693,North Vancouver
0,,alley - not a road,106123583,North Vancouver
0,,alley - not a road,106123649,North Vancouver
0,,alley - not a road,106123663,North Vancouver
0,,alley - not a road,106123690,North Vancouver
0,,alley - not a road,106123588,North Vancouver
0,,alley - not a road,106123595,North Vancouver
0,,alley - not a road,106123708,North Vancouver
0,,alley - not a road,106123587,North Vancouver
0,,alley - not a road,106123591,North Vancouver
0,,alley - not a road,106123600,North Vancouver
0,,alley - not a road,106123607,North Vancouver
0,,alley - not a road,106123593,North Vancouver
0,,alley - not a road,106123630,North Vancouver
0,,alley - not a road,106123603,North Vancouver
0,,alley - not a road,106123655,North Vancouver
0,,alley - not a road,106123679,North Vancouver
0,,alley - not a road,106123586,North Vancouver
0,,alley - not a road,103745697,North Vancouver
0,,alley - not a road,103745698,North Vancouver
0,,alley - not a road,103745699,North Vancouver
0,,alley - not a road,106123642,North Vancouver
0,,alley - not a road,106123628,North Vancouver
0,,alley - not a road,106123651,North Vancouver
0,,alley - not a road,106123688,North Vancouver
0,,alley - not a road,106123579,North Vancouver
0,,alley - not a road,106123602,North Vancouver
0,,alley - not a road,106123616,North Vancouver
0,,alley - not a road,106123613,North Vancouver
0,,alley - not a road,106123589,North Vancouver
0,,alley - not a road,106123639,North Vancouver
0,,alley - not a road,106123660,North Vancouver
0,,alley - not a road,106123616,North Vancouver
0,,alley - not a road,106123692,North Vancouver
0,,alley - not a road,106123656,North Vancouver
0,,alley - not a road,106123596,North Vancouver
0,,alley - not a road,106123626,North Vancouver
0,,alley - not a road,106123644,North Vancouver
0,,alley - not a road,106123682,North Vancouver
0,,alley - not a road,106123650,North Vancouver
0,,alley - not a road,106123689,North Vancouver
0,,alley - not a road,106123606,North Vancouver
0,,alley - not a road,106123677,North Vancouver
0,,alley - not a road,106123658,North Vancouver
0,,alley - not a road,106123612,North Vancouver
0,,alley - not a road,106123681,North Vancouver
0,,not a road,99144098,North Vancouver
0,,freeway,97337735,North Vancouver
0,,freeway,97337737,North Vancouver
0,,not a road,97337942,North Vancouver
0,,not a road,106139714,North Vancouver
0,,alley - not a road,106139706,North Vancouver
0,,alley - not a road,106139711,North Vancouver
0,,alley - not a road,106139712,North Vancouver
0,,alley - not a road,106135467,North Vancouver
0,,alley - not a road,106135483,North Vancouver
0,,alley - not a road,106135432,North Vancouver
0,,alley - not a road,106135417,North Vancouver
0,,alley - not a road,106135381,North Vancouver
0,,alley - not a road,106135437,North Vancouver
0,,alley - not a road,106135352,North Vancouver
0,,alley - not a road,106135343,North Vancouver
0,,alley - not a road,106135469,North Vancouver
0,,alley - not a road,106135423,North Vancouver
0,,alley - not a road,106135425,North Vancouver
0,,alley - not a road,106135350,North Vancouver
0,,alley - not a road,106135356,North Vancouver
0,,alley - not a road,106135346,North Vancouver
0,,alley - not a road,106135407,North Vancouver
0,,alley - not a road,106135358,North Vancouver
0,,alley - not a road,106135449,North Vancouver
0,,alley - not a road,106135369,North Vancouver
0,,alley - not a road,106135436,North Vancouver
0,,alley - not a road,106123713,North Vancouver
0,,alley - not a road,106123715,North Vancouver
0,,alley - not a road,106135429,North Vancouver
0,,alley - not a road,106135348,North Vancouver
0,,alley - not a road,106135421,North Vancouver
0,,alley - not a road,106135427,North Vancouver
0,,alley - not a road,106135419,North Vancouver
0,,alley - not a road,106135462,North Vancouver
0,,alley - not a road,106123712,North Vancouver
0,,alley - not a road,106135441,North Vancouver
0,,alley - not a road,106135443,North Vancouver
0,,alley - not a road,106123717,North Vancouver
0,,alley - not a road,106135401,North Vancouver
0,,alley - not a road,106145227,North Vancouver
0,,alley - not a road,106135465,North Vancouver
0,,alley - not a road,106135479,North Vancouver
0,,alley - not a road,106135459,North Vancouver
0,,alley - not a road,106135478,North Vancouver
0,,alley - not a road,106135435,North Vancouver
0,,alley - not a road,106135464,North Vancouver
0,,alley - not a road,106135461,North Vancouver
0,,alley - not a road,106135442,North Vancouver
0,,alley - not a road,106135476,North Vancouver
0,,alley - not a road,106135388,North Vancouver
0,,alley - not a road,106135466,North Vancouver
0,,alley - not a road,106123719,North Vancouver
0,,alley - not a road,106145226,North Vancouver
0,,alley - not a road,106145230,North Vancouver
0,,alley - not a road,106135397,North Vancouver
0,,alley - not a road,106135372,North Vancouver
0,,alley - not a road,106135453,North Vancouver
0,,alley - not a road,106145232,North Vancouver
0,,alley - not a road,106135439,North Vancouver
0,,alley - not a road,106135399,North Vancouver
0,,alley - not a road,106135418,North Vancouver
0,,alley - not a road,106135371,North Vancouver
0,,alley - not a road,106135410,North Vancouver
0,,alley - not a road,106145224,North Vancouver
0,,alley - not a road,106135373,North Vancouver
0,,alley - not a road,106135357,North Vancouver
0,,alley - not a road,106135396,North Vancouver
0,,alley - not a road,106135353,North Vancouver
0,,alley - not a road,106135384,North Vancouver
0,,alley - not a road,106135389,North Vancouver
0,,alley - not a road,106135367,North Vancouver
0,,alley - not a road,106135365,North Vancouver
0,,alley - not a road,106135392,North Vancouver
0,,alley - not a road,106135458,North Vancouver
0,,alley - not a road,106135413,North Vancouver
0,,alley - not a road,106135477,North Vancouver
0,,alley - not a road,106137895,North Vancouver
0,,alley - not a road,106137886,North Vancouver
0,,alley - not a road,106137872,North Vancouver
0,,alley - not a road,106137894,North Vancouver
0,,alley - not a road,106137861,North Vancouver
0,,alley - not a road,106137887,North Vancouver
0,,alley - not a road,106137865,North Vancouver
0,,alley - not a road,106137855,North Vancouver
0,,alley - not a road,106137885,North Vancouver
0,,alley - not a road,106137881,North Vancouver
0,,alley - not a road,106137877,North Vancouver
0,,alley - not a road,106137863,North Vancouver
0,,alley - not a road,106137862,North Vancouver
0,,alley - not a road,106137891,North Vancouver
0,,alley - not a road,106137875,North Vancouver
0,,alley - not a road,106137859,North Vancouver
0,,alley - not a road,106137889,North Vancouver
0,,alley - not a road,106137878,North Vancouver
0,,alley - not a road,106137868,North Vancouver
0,,alley - not a road,106137883,North Vancouver
0,,alley - not a road,106137880,North Vancouver
0,,alley - not a road,106137870,North Vancouver
0,,parking lot - not a road,106137857,North Vancouver
0,,trail - not a road,121969157,North Vancouver
0,,trail - not a road,122738613,North Vancouver
0,,not in area,107507814,North Vancouver
0,,not in area,116061618,North Vancouver
0,,not in area,116061594,North Vancouver
0,,not in area,116061626,North Vancouver
0,,not in area,116061588,North Vancouver
0,,not in area,116061660,North Vancouver
0,,parking lot - not a road,122738615,North Vancouver
0,,parking lot - not a road,122738611,North Vancouver
0,,parking lot - not a road,122738605,North Vancouver
0,,parking lot - not a road,122738610,North Vancouver
0,,parking lot - not a road,121969155,North Vancouver
0,,parking lot - not a road,121969158,North Vancouver
0,,parking lot - not a road,118408237,North Vancouver
0,,parking lot - not a road,118408238,North Vancouver
0,,parking lot - not a road,118408239,North Vancouver
0,,parking lot - not a road,118408240,North Vancouver
0,,parking lot - not a road,118408234,North Vancouver
0,,parking lot - not a road,118408235,North Vancouver
0,,parking lot - not a road,118408236,North Vancouver
0,,parking lot - not a road,118755279,North Vancouver
0,,not a road,118755268,North Vancouver
0,,alley - not a road,118755265,North Vancouver
0,,not a road,118755289,North Vancouver
0,,parking lot - not a road,109035814,North Vancouver
0,,parking lot - not a road,109035816,North Vancouver
0,,alley - not a road,117441215,North Vancouver
0,,alley - not a road,117438896,North Vancouver
0,,not a road,117438505,North Vancouver
0,,not a road,117438893,North Vancouver
1,Whiteley Ct,,117438517,North Vancouver
0,,not a road,117438499,North Vancouver
0,,not a road,117438890,North Vancouver
0,,parking lot - not a road,117565928,North Vancouver
0,,parking lot - not a road,117565926,North Vancouver
0,,parking lot - not a road,117564279,North Vancouver
0,,lane - not a road,117564280,North Vancouver
0,,lane - not a road,117566580,North Vancouver
0,,apt complex - not a road,117438702,North Vancouver
0,,alley - not a road,117438690,North Vancouver
0,,private property - not a road,117438703,North Vancouver
0,,not a road,116420523,North Vancouver
0,,alley - not a road,106145233,North Vancouver
0,,alley - not a road,106145272,North Vancouver
0,,alley - not a road,106145244,North Vancouver
0,,alley - not a road,116600157,North Vancouver
0,,parking lot - not a road,118990882,North Vancouver
0,,alley - not a road,106145235,North Vancouver
0,,alley - not a road,106145257,North Vancouver
0,,alley - not a road,106145259,North Vancouver
0,,alley - not a road,106145298,North Vancouver
0,,alley - not a road,106145253,North Vancouver
0,,alley - not a road,106145266,North Vancouver
0,,alley - not a road,106145293,North Vancouver
0,,alley - not a road,106145286,North Vancouver
0,,alley - not a road,106145289,North Vancouver
0,,alley - not a road,106145296,North Vancouver
0,,alley - not a road,106145279,North Vancouver
0,,alley - not a road,106145295,North Vancouver
0,,alley - not a road,106145276,North Vancouver
0,,alley - not a road,106145287,North Vancouver
0,,alley - not a road,106145267,North Vancouver
0,,alley - not a road,106145270,North Vancouver
0,,alley - not a road,106145268,North Vancouver
0,,alley - not a road,106145274,North Vancouver
0,,alley - not a road,106145277,North Vancouver
0,,alley - not a road,106145291,North Vancouver
0,,alley - not a road,106145241,North Vancouver
0,,alley - not a road,106145280,North Vancouver
0,,alley - not a road,106145282,North Vancouver
0,,alley - not a road,106145239,North Vancouver
0,,alley - not a road,106145284,North Vancouver
0,,alley - not a road,106145254,North Vancouver
0,,alley - not a road,106145245,North Vancouver
0,,alley - not a road,106145262,North Vancouver
0,,not in area,161320867,North Vancouver
0,,not in area,161320875,North Vancouver
0,,parking lot - not a road,122738646,North Vancouver
0,,parking lot - not a road,122738653,North Vancouver
0,,parking lot - not a road,122738625,North Vancouver
0,,parking lot - not a road,122738639,North Vancouver
0,,parking lot - not a road,122738642,North Vancouver
0,,parking lot - not a road,122738618,North Vancouver
0,,parking lot - not a road,122738627,North Vancouver
0,,parking lot - not a road,122738633,North Vancouver
0,,parking lot - not a road,122738631,North Vancouver
0,,parking lot - not a road,122738623,North Vancouver
0,,parking lot - not a road,122738632,North Vancouver
0,,parking lot - not a road,122738617,North Vancouver
0,,parking lot - not a road,122738629,North Vancouver
0,,parking lot - not a road,122738641,North Vancouver
0,,parking lot - not a road,122738626,North Vancouver
0,,parking lot - not a road,122738619,North Vancouver
0,,parking lot - not a road,122738624,North Vancouver
0,,parking lot - not a road,122738620,North Vancouver
0,,parking lot - not a road,122738630,North Vancouver
0,,parking lot - not a road,122738628,North Vancouver
0,,parking lot - not a road,122738634,North Vancouver
0,,parking lot - not a road,122738621,North Vancouver
0,,not a road,142867207,North Vancouver
0,,not a road,142867201,North Vancouver
0,,trail - not a road,157205210,North Vancouver
0,,trail - not a road,123830225,North Vancouver
0,,parking lot - not a road,161098582,North Vancouver
0,,parking lot - not a road,159397505,North Vancouver
0,,parking lot - not a road,159397543,North Vancouver
0,,parking lot - not a road,159397555,North Vancouver
0,,parking lot - not a road,159397510,North Vancouver
0,,parking lot - not a road,159397522,North Vancouver
0,,parking lot - not a road,159397555,North Vancouver
0,,parking lot - not a road,159397535,North Vancouver
0,,not a road,132687106,North Vancouver
0,,parking lot - not a road,122738654,North Vancouver
0,,parking lot - not a road,122738637,North Vancouver
0,,parking lot - not a road,122738645,North Vancouver
0,,parking lot - not a road,122738636,North Vancouver
0,,parking lot - not a road,122738648,North Vancouver
0,,parking lot - not a road,122738649,North Vancouver
0,,parking lot - not a road,122738650,North Vancouver
0,,parking lot - not a road,122885155,North Vancouver
0,,parking lot - not a road,122885167,North Vancouver
0,,reservation - private road,149506566,North Vancouver
0,,reservation - private road,149506568,North Vancouver
0,,reservation - private road,149506572,North Vancouver
1,Harbourside Dr,,128155105,North Vancouver
0,,parking lot - not a road,128155242,North Vancouver
0,,parking lot - not a road,128155239,North Vancouver
0,,parking lot - not a road,128155244,North Vancouver
0,,parking lot - not a road,128155243,North Vancouver
0,,parking lot - not a road,128155241,North Vancouver
0,,parking lot - not a road,128155240,North Vancouver
0,,parking lot - not a road,128155244,North Vancouver
0,,reservation - private road,154415824,North Vancouver
0,,alley - not a road,161835561,North Vancouver
0,,alley - not a road,165272913,North Vancouver
0,,alley - not a road,165272919,North Vancouver
0,,alley - not a road,165268974,North Vancouver
0,,private property - not a road,161463526,North Vancouver
0,,alley - not a road,161463507,North Vancouver
0,,alley - not a road,161463517,North Vancouver
0,,alley - not a road,155226367,North Vancouver
0,,parking lot - not a road,163655071,North Vancouver
0,,parking lot - not a road,163655073,North Vancouver
0,,parking lot - not a road,163655248,North Vancouver
0,,parking lot - not a road,163655249,North Vancouver
0,,alley - not a road,152295760,North Vancouver
0,,alley - not a road,152748021,North Vancouver
0,,alley - not a road,152294820,North Vancouver
0,,parking lot - not a road,158044793,North Vancouver
0,,not a road,174247939,North Vancouver
0,,not a road,174247951,North Vancouver
0,,not a road,174247968,North Vancouver
0,,not a road,174247930,North Vancouver
